	XBN``````````````````````0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
-1.007651221,-0.803356222,-0.10843996,-1.2474025,-1.04372642,-0.480685258,-0.449691891,-0.846760893,-0.002813627,1.052161657,0.730785047,-1.422921605,1.78215098,0.089197233,0.812669835,0.249917918,0.074274567,0.002967282,-0.490570923,-0.522576695,-0.990268046,1.033708785,0.280188137,0.365411473,-0.444263344,1.061234578,-0.289602939,-0.565213659,-0.814216926,1.019231211,-0.25872504,1.631067175,1.499646202,-0.225232465,1.082688086,-0.640856437,0.705232322,-0.602136089,0.25,0.25,0.75,0.75,0.75,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.75,1,0.75,0.25,0.25,0,0.75
-1.712761518,-1.781706313,-0.584523446,-2.656980017,-2.200847452,-0.939788135,-1.215424371,-1.746615746,-0.02432549,2.158112814,1.257576627,-2.734989393,3.515345116,0.018036141,1.762285837,0.252255338,0.100346714,0.243474776,-1.046082507,-0.793724904,-1.807952749,2.041785936,0.355417404,0.752722228,-1.014579395,2.128248478,-0.640402943,-0.951344363,-1.62143877,1.708686144,-0.316652439,3.354512857,2.953333024,-0.313448532,2.041279377,-1.233083851,1.732992374,-0.993777485,0,1,1,0,0.25,1,0.25,0,0.25,1,0.75,0.25,1,1,0.25,1,1,0,0.25,0.75
-0.188164984,0.83450847,1.54069768,1.267381588,1.114954414,-0.100213816,1.623113492,1.018611365,-0.349481183,-1.239767655,0.585682963,1.492252148,-1.581370643,0.739852589,-0.732389039,0.82407711,0.469697984,-1.354816727,0.647748956,-0.798515033,-0.176619365,-0.357103654,0.91130514,0.02078712,0.815046044,-0.475587707,1.127926757,-0.512193189,0.292803834,0.657083708,-0.838096852,-1.62655944,-1.571268485,-0.477501423,-0.45579063,0.003020412,-1.716703584,-0.612519447,0.75,0,0.25,1,0.75,0.75,0.75,0.75,0.25,1,0.75,0.25,0,0,0.25,1,1,0.25,0,0.75
-1.40990816,-1.012885922,0.268387749,-1.405763467,-1.181746476,-0.837495164,-0.193241,-0.900142134,-0.265448948,1.106598512,1.225392182,-1.253904907,1.842253538,0.427477592,1.057171976,0.619459966,0.380543094,-0.46110417,-0.322723574,-0.967496619,-1.451121048,1.391088033,0.732667951,0.671241925,-0.455394262,1.405244061,0.123312917,-0.984949628,-1.140116506,1.533931793,-0.674724037,1.694144976,1.476907983,-0.542671828,1.356405966,-0.978152759,0.513993369,-1.07480751,0,0.75,1,0.25,0,0.25,0,0,0,0.75,0.25,0.75,0.25,0.75,0.25,0.25,1,0,0,1
-0.042919676,0.755485167,1.227480494,1.097219913,0.959408945,-0.007154947,1.276682253,0.875314662,-0.251131863,-1.085210313,0.408848869,1.290785609,-1.34228744,0.559681348,-0.644358458,0.619823673,0.340629791,-1.057536545,0.52170431,-0.587893425,-0.050538808,-0.381084749,0.686633508,-0.030209904,0.698353493,-0.460287137,0.882409231,-0.351626588,0.301488813,0.46740714,-0.629332385,-1.394286619,-1.32180842,-0.337232362,-0.444072176,0.073663441,-1.403059242,-0.438303396,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.75,0,0.75
-1.089873811,-0.665961167,0.412696459,-0.926965131,-0.755149332,-0.664030221,0.075885397,-0.559913783,-0.253382096,0.674541681,1.024013848,-0.788376342,1.212500737,0.415901038,0.706197067,0.569407851,0.350831664,-0.539200941,-0.228949357,-0.845672099,-1.136932222,1.032073671,0.689769469,0.499743833,-0.231902781,1.016752363,0.228977773,-0.824775176,-0.834853892,1.283886226,-0.626489213,1.095867283,0.918033985,-0.479832438,0.983576217,-0.759885379,0.185105883,-0.916567246,0,0.75,1,0.25,0,0.25,0,0,0,0.75,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0,0.25,1
-1.085304695,-0.938760399,-0.066631145,-1.397515895,-1.147096376,-0.613260684,-0.492557412,-0.885313409,-0.059485579,1.077767757,0.881779575,-1.417106531,1.890458579,0.146581128,0.945459763,0.31110647,0.124592987,-0.128840684,-0.473482681,-0.633214418,-1.146864229,1.182658944,0.390685708,0.444608932,-0.467083828,1.210487522,-0.189026611,-0.681109323,-0.94355775,1.184982744,-0.360282834,1.796170806,1.56129514,-0.277193788,1.172170516,-0.744931279,0.741243046,-0.71936228,0.25,0.75,0.75,0.75,0.25,0.75,0.25,0.75,0.25,1,0.75,0.75,0.25,0.75,0.25,0.75,0.75,0.75,1,0.75
-1.270267391,-0.889458816,0.222872392,-1.292930774,-1.044185755,-0.70474757,-0.164413592,-0.802264536,-0.159682121,0.976445837,1.091706639,-1.301251833,1.793992468,0.325140703,0.925082773,0.512074055,0.268399568,-0.389934566,-0.470007251,-0.878634202,-1.313274864,1.253622159,0.62160041,0.529377143,-0.375528581,1.257771146,0.018936659,-0.8665379,-0.99533593,1.418688589,-0.571725197,1.587637535,1.412292032,-0.437199608,1.230156464,-0.842406758,0.484199153,-0.941646418,0,1,1,0,0.75,1,0.25,1,0.25,1,1,0.75,1,1,1,0.75,1,1,0.25,1
-0.375844605,0.053808181,0.59106995,0.117227858,0.107041299,-0.2253184,0.548836316,0.09933507,-0.217521923,-0.144242959,0.441896102,0.278330837,-0.148883287,0.370928078,-0.001652615,0.447927073,0.272566721,-0.532747369,0.150193015,-0.462829133,-0.36542306,0.193060391,0.469496865,0.151298269,0.121648944,0.132093046,0.392242175,-0.390654063,-0.163247916,0.511678167,-0.436567878,-0.239320505,-0.162104431,-0.324359661,0.175971241,-0.22789426,-0.472745842,-0.44790561,0,0.25,1,0.75,0.75,0.25,0.75,0.25,0,0,0.75,0,0.75,0.25,1,0.25,0,0.75,0.25,0.75
-0.225574148,0.473461502,0.94956744,0.71751769,0.61298724,-0.153712321,1.028154451,0.582903234,-0.203028649,-0.720232662,0.444146224,0.760763387,-0.804691008,0.466133694,-0.384480539,0.576058883,0.28224058,-0.814208642,0.30727212,-0.517186017,-0.189937372,-0.178648351,0.619715129,0.114189671,0.47637885,-0.184183831,0.690995347,-0.385976788,0.114304226,0.534948034,-0.547390455,-0.855149171,-0.824831336,-0.309134839,-0.229337989,-0.044577779,-1.08191048,-0.391385968,0,0.75,1,0.25,1,0,1,1,0,1,0,0,0.25,0,1,1,0,0.25,0,0.75
-0.882047126,-1.137548336,-0.796870492,-1.820376997,-1.5050896,-0.36412481,-1.176193345,-1.195584028,0.252135118,1.557813133,0.473938084,-2.165439423,2.522628177,-0.332391025,1.109124259,-0.192594006,-0.254690135,0.587413841,-1.010987668,-0.121739613,-0.907508887,1.184366775,-0.154803115,0.288096164,-0.725498899,1.248589607,-0.830999829,-0.293159405,-0.896339782,0.772687153,0.163404659,2.447417438,2.139736962,0.100187066,1.191914674,-0.572277413,1.473212801,-0.290185217,0.25,0.25,0.75,0.75,0.25,1,0.25,0.25,0.75,1,0.75,0.75,0.75,0.75,0.25,1,0.75,0.25,1,1
-0.701129248,-0.773983539,-0.317910267,-1.213438279,-0.969062126,-0.340984358,-0.650045904,-0.752611812,0.062863594,0.916335438,0.503121899,-1.270744029,1.612692839,-0.079978994,0.759452092,0.021990657,-0.026702017,0.160809716,-0.566285937,-0.281866283,-0.752255638,0.876528238,0.075719108,0.266732228,-0.412531435,0.908543719,-0.35739745,-0.355477164,-0.679315634,0.687019605,-0.044292155,1.528072934,1.364210448,-0.0518834,0.865010673,-0.486231856,0.79657917,-0.405093852,0.25,0.75,0.75,0.25,0.25,0.75,0.25,0.25,0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,1,0,0,0.75
-1.275983819,-1.141647269,-0.070597594,-1.601656968,-1.356264799,-0.775429723,-0.472706211,-1.10146867,-0.214559995,1.322347385,1.032224626,-1.492997536,2.047585224,0.271597993,1.166293666,0.432509299,0.277589546,-0.136585311,-0.413793124,-0.806554216,-1.320235002,1.397305734,0.495816586,0.645290562,-0.667009001,1.423050408,-0.107815658,-0.837159134,-1.146989498,1.294873447,-0.473204587,1.898089494,1.75433589,-0.437418798,1.390481761,-0.929222503,0.839761561,-0.881250139,0.25,0.75,0.75,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0,0.75
-0.343689045,0.615575544,1.674790441,1.245280447,1.016623335,-0.449276751,1.797361201,0.824699216,-0.799574547,-1.154902848,0.760708901,2.06642142,-1.922912155,1.125560877,-0.5022993,1.141067465,0.917245426,-1.571835014,1.143460506,-1.038937806,-0.329664356,-0.178950897,1.208008658,0.406335422,0.511274205,-0.315819993,1.545055196,-0.77401414,0.035544877,0.633640657,-1.14717083,-1.992733905,-1.741348787,-0.878285455,-0.27849381,-0.295926759,-1.805802836,-0.875087832,0.75,0,0.25,1,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.75,0,0,0.25,0.75,0.75
0.128588265,0.88887428,1.01137701,1.123936599,1.011715988,0.218059156,1.085920966,0.959564529,0.01175497,-1.107806692,0.163977865,1.027219163,-1.192942599,0.274915909,-0.798889914,0.351051255,0.051881743,-0.80497545,0.317113003,-0.324745965,0.157532065,-0.536556736,0.412745605,-0.272341851,0.838106778,-0.624579649,0.58963565,-0.097577617,0.496920097,0.242031544,-0.362544151,-1.234825546,-1.285114951,-0.068923045,-0.604787168,0.299071406,-1.259677092,-0.173650893,1,0,0,1,0.25,0.25,0.25,1,0.25,0.25,1,1,0.75,0.25,0.75,0.25,0.25,1,1,0.75
-0.344914068,0.474507323,1.057355596,0.752147642,0.608966617,-0.233376187,1.145219125,0.613657239,-0.195715122,-0.702370196,0.573750709,0.653354636,-0.764053833,0.542227374,-0.350663392,0.705934671,0.306566656,-0.907664075,0.268761711,-0.6293854,-0.292058218,-0.15865675,0.753010275,0.215789266,0.482078641,-0.118281224,0.773884009,-0.502180119,0.059384183,0.708092493,-0.660099738,-0.835397332,-0.794203711,-0.373556535,-0.200797169,-0.102373555,-1.196963152,-0.492802658,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.75
-0.889568331,-1.928044425,-0.642093762,-1.515615574,-1.732973293,-1.567485934,-0.610940037,-1.91934775,-1.744119168,1.743811974,0.617653436,0.595952319,0.275982763,1.163983366,1.885147422,0.771529105,1.569747333,0.106463909,1.687465643,-0.561335229,-0.939770879,1.44536566,0.64089394,1.773564803,-2.169205813,1.489671543,0.835003692,-0.96359928,-1.646557849,-0.155991271,-0.787780683,0.388339962,1.076011143,-1.414385764,1.496291261,-1.57097205,1.121017347,-0.77397231,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,1,0.25,0.75
